% timing results for integrating KS eqn on 
% Lx = Nx/16*pi domain
% dt = 1/16
% T = 200

% Run on one core of timaeus, a six-core Intel(R) Core(TM) i7-3960X CPU @ 3.30GHz
% openSUSE 13.2 "Harlequin", April 2016
% 
%    gcc == g++ (SUSE Linux) 4.8.3 20140627 [gcc-4_8-branch revision 212064]
% matlab == R2014b, Linux
%  octave == Octave 3.8.2-4.5.1.x86_64
%  python == Python 2.7.8
%  chflow == channelflow-1.4.2-dev
%  julia  == Julia 0.6 (2017-06-19 13:05 UTC) x86_64-pc-linux-gnu
% fortran == GNU Fortran (SUSE Linux) 4.8.5


%Nx     C++	 Matlab    Octave    Python  Chflow  JuliaN  JuliaUR  JuliaIP  Fr2c
32      0.0044	 0.031	   0.071     0.11    0.093   0.081   0.0016   0.0021   0.0011
64      0.0091	 0.0417	   0.161     0.16    0.097   0.119   0.0038   0.0047   0.0021
128     0.0138	 0.0452	   0.121     0.18    0.182   0.130   0.0071   0.0081   0.0041
256     0.0206	 0.0618	   0.208     0.19    0.194   0.147   0.0139   0.0160   0.0083
512     0.0369	 0.0930	   0.253     0.24    0.237   0.180   0.0271   0.0316   0.0162
1024    0.0712	 0.163	   0.294     0.28    0.261   0.241   0.0583   0.0654   0.0335
2048    0.150	 0.296	   0.393     0.47    0.305   0.369   0.126    0.143    0.0731
4096    0.355	 0.569	   0.621     0.82    0.411   0.659   0.302    0.333    0.162
8192    0.739	 1.17	   0.996     1.56    0.624   1.23    0.659    0.721    NaN
16384   1.53	 2.35	   1.99	     3.13    1.107   2.38    1.39     1.52     NaN
32768   3.62	 4.84	   4.24	     6.07    2.499   4.75    3.00     3.28     NaN
65536   7.36	 9.96	   7.00	     15.1    5.04    10.31   6.79     7.33     NaN
131072  15.5	 21.7	   15.8	     38.9    9.73    21.2    15.4     15.6     NaN
